country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",08-04-2025 22:00:00,11.55358,76.55521,NH3,2.0,4.0,2.0
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",08-04-2025 22:00:00,13.428828,77.731418,SO2,20.0,42.0,24.0
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",08-04-2025 22:00:00,21.613267,73.010555,CO,6.0,98.0,29.0
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",08-04-2025 22:00:00,23.163798,72.677768,PM10,57.0,187.0,87.0
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",08-04-2025 22:00:00,23.163798,72.677768,OZONE,2.0,46.0,30.0
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",08-04-2025 22:00:00,23.221714,72.654328,NO2,21.0,25.0,23.0
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",08-04-2025 22:00:00,23.221714,72.654328,OZONE,22.0,23.0,22.0
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",08-04-2025 22:00:00,22.969611,72.6435,NO2,38.0,95.0,55.0
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",08-04-2025 22:00:00,22.969611,72.6435,SO2,8.0,25.0,14.0
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",08-04-2025 22:00:00,12.21041,76.37376,SO2,1.0,25.0,6.0
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",08-04-2025 22:00:00,13.94,75.555917,PM10,40.0,64.0,51.0
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",08-04-2025 22:00:00,13.94,75.555917,NO2,18.0,30.0,23.0
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",08-04-2025 22:00:00,13.94,75.555917,CO,5.0,41.0,31.0
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",08-04-2025 22:00:00,15.459706,75.008381,CO,29.0,125.0,72.0
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",08-04-2025 22:00:00,22.431,75.5213,PM2.5,48.0,358.0,131.0
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",08-04-2025 22:00:00,22.431,75.5213,PM10,120.0,390.0,178.0
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",08-04-2025 22:00:00,22.431,75.5213,CO,22.0,132.0,66.0
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",08-04-2025 22:00:00,22.678,75.8559,PM2.5,52.0,296.0,95.0
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",08-04-2025 22:00:00,22.678,75.8559,OZONE,7.0,16.0,11.0
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",08-04-2025 22:00:00,22.7084,75.8815,PM10,58.0,174.0,105.0
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",08-04-2025 22:00:00,22.7084,75.8815,OZONE,10.0,23.0,16.0
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",08-04-2025 22:00:00,23.163174,79.973061,PM10,56.0,103.0,74.0
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",08-04-2025 22:00:00,23.163174,79.973061,NO2,35.0,60.0,45.0
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",08-04-2025 22:00:00,23.163174,79.973061,NH3,1.0,2.0,1.0
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",08-04-2025 22:00:00,23.163174,79.973061,CO,14.0,43.0,22.0
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",08-04-2025 22:00:00,23.142888,79.916147,PM2.5,34.0,207.0,89.0
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",08-04-2025 22:00:00,23.10844,77.511428,NO2,26.0,117.0,76.0
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",08-04-2025 22:00:00,23.10844,77.511428,CO,24.0,104.0,41.0
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",08-04-2025 22:00:00,23.10844,77.511428,OZONE,29.0,38.0,33.0
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",08-04-2025 22:00:00,22.624758,75.675238,PM10,100.0,293.0,146.0
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",08-04-2025 22:00:00,23.838586,78.759431,OZONE,13.0,60.0,37.0
